file,path,age
122542.jpg,all_images\122542.jpg,20
122550.jpg,all_images\122550.jpg,20
122573.jpg,all_images\122573.jpg,20
122642.jpg,all_images\122642.jpg,20
122646.jpg,all_images\122646.jpg,20
122716.jpg,all_images\122716.jpg,20
122776.jpg,all_images\122776.jpg,20
122810.jpg,all_images\122810.jpg,20
122819.jpg,all_images\122819.jpg,20
122829.jpg,all_images\122829.jpg,20
122886.jpg,all_images\122886.jpg,20
122939.jpg,all_images\122939.jpg,20
122953.jpg,all_images\122953.jpg,20
122979.jpg,all_images\122979.jpg,20
123283.jpg,all_images\123283.jpg,20
123401.jpg,all_images\123401.jpg,20
123479.jpg,all_images\123479.jpg,20
123568.jpg,all_images\123568.jpg,20
123600.jpg,all_images\123600.jpg,20
123670.jpg,all_images\123670.jpg,20
123799.jpg,all_images\123799.jpg,20
123832.jpg,all_images\123832.jpg,20
123952.jpg,all_images\123952.jpg,20
124015.jpg,all_images\124015.jpg,20
124092.jpg,all_images\124092.jpg,20
124306.jpg,all_images\124306.jpg,20
124399.jpg,all_images\124399.jpg,20
124402.jpg,all_images\124402.jpg,20
124412.jpg,all_images\124412.jpg,20
124515.jpg,all_images\124515.jpg,20
124528.jpg,all_images\124528.jpg,20
124561.jpg,all_images\124561.jpg,20
124633.jpg,all_images\124633.jpg,20
124671.jpg,all_images\124671.jpg,20
124740.jpg,all_images\124740.jpg,20
124747.jpg,all_images\124747.jpg,20
124759.jpg,all_images\124759.jpg,20
124873.jpg,all_images\124873.jpg,20
124956.jpg,all_images\124956.jpg,20
124968.jpg,all_images\124968.jpg,20
124981.jpg,all_images\124981.jpg,20
125151.jpg,all_images\125151.jpg,20
125174.jpg,all_images\125174.jpg,20
125202.jpg,all_images\125202.jpg,20
125262.jpg,all_images\125262.jpg,20
125265.jpg,all_images\125265.jpg,20
125307.jpg,all_images\125307.jpg,20
125408.jpg,all_images\125408.jpg,20
125467.jpg,all_images\125467.jpg,20
125481.jpg,all_images\125481.jpg,20
125494.jpg,all_images\125494.jpg,20
125542.jpg,all_images\125542.jpg,20
125567.jpg,all_images\125567.jpg,20
125591.jpg,all_images\125591.jpg,20
125700.jpg,all_images\125700.jpg,20
125871.jpg,all_images\125871.jpg,20
125889.jpg,all_images\125889.jpg,20
125926.jpg,all_images\125926.jpg,20
125972.jpg,all_images\125972.jpg,20
126066.jpg,all_images\126066.jpg,20
126126.jpg,all_images\126126.jpg,20
126398.jpg,all_images\126398.jpg,20
126576.jpg,all_images\126576.jpg,20
